Materiaalsoort;Spatrand;Vensterbank;Boorgaten per stuk;WCD (Wandcontactdoos);Randafwerking;Prijs per m2;Randafwerking p/m;Spatrand p/m;Vensterbank p/m;Uitsparing onderbouw;Uitsparing inleg;Uitsparing ruw;Kraangat;Zeepdispenser;Boorgaten per stuk;WCD;Achterwand p/m;Randafwerking p/m;
Noble Desiree Grey Matt;0-150 mm;150 mm+;true;true;false;247.52;87.00;35.00;309.40;151.50;97.50;70.00;10.70;10.70;5.00;13.50;309.40;28.00;
Noble Carrara Verzoet;150 mm+;0-150 mm;true;true;true;258.40;87.00;309.40;35.00;151.50;97.50;70.00;10.70;10.70;5.00;13.50;315.60;28.00;
Taurus Terazzo White Verzoet;0-150 mm;0-150 mm;false;false;true;239.40;79.00;35.00;35.00;151.50;97.50;70.00;10.70;10.70;5.00;13.50;298.50;28.00;
Taurus Terazzo Black;150 mm+;150 mm+;true;true;true;228.50;79.00;309.40;309.40;151.50;97.50;70.00;10.70;10.70;5.00;13.50;289.50;28.00;
Glencoe Verzoet;"0-150; 150 mm+";150 mm+;false;false;true;305.50;95.00;"40; 350";340.50;151.50;97.50;70.00;10.70;10.70;5.00;13.50;315.60;28.00;
